"wordrep"	"letters"	"word_accuracy"	"best_match"	"str_distance"	"correct_word_length"	"proportion_letter_correct"	"iksis"	"responses"	"suppression"	"subject"
"168"	"requirenments"	"r"	0	"requirements"	1	12	0.916666666666667	232	"r"	"D0A"	"p10crandom.txt"
"169"	"requirenments"	"e"	0	"requirements"	1	12	0.916666666666667	88	"e"	"D0A"	"p10crandom.txt"
"170"	"requirenments"	"n"	0	"requirements"	1	12	0.916666666666667	129	"n"	"D0A"	"p10crandom.txt"
"171"	"requirenments"	"m"	0	"requirements"	1	12	0.916666666666667	216	"m"	"D0A"	"p10crandom.txt"
"172"	"requirenments"	"e"	0	"requirements"	1	12	0.916666666666667	168	"e"	"D0A"	"p10crandom.txt"
"173"	"requirenments"	"n"	0	"requirements"	1	12	0.916666666666667	120	"n"	"D0A"	"p10crandom.txt"
"174"	"requirenments"	"t"	0	"requirements"	1	12	0.916666666666667	128	"t"	"D0A"	"p10crandom.txt"
"175"	"requirenments"	"s"	0	"requirements"	1	12	0.916666666666667	96	"s"	"D0A"	"p10crandom.txt"
"176"	"sre"	"s"	0	"are"	1	3	0.666666666666667	192	"s"	"D0A"	"p10crandom.txt"
"177"	"sre"	"r"	0	"are"	1	3	0.666666666666667	704	"r"	"D0A"	"p10crandom.txt"
"178"	"sre"	"e"	0	"are"	1	3	0.666666666666667	80	"e"	"D0A"	"p10crandom.txt"
"179"	"speed"	"s"	1	"speed"	0	5	1	104	"s"	"D0A"	"p10crandom.txt"
"180"	"speed"	"p"	1	"speed"	0	5	1	113	"p"	"D0A"	"p10crandom.txt"
"181"	"speed"	"e"	1	"speed"	0	5	1	103	"e"	"D0A"	"p10crandom.txt"
"182"	"speed"	"e"	1	"speed"	0	5	1	153	"e"	"D0A"	"p10crandom.txt"
"183"	"speed"	"d"	1	"speed"	0	5	1	200	"d"	"D0A"	"p10crandom.txt"
"184"	"and"	"a"	1	"and"	0	3	1	185	"a"	"D0A"	"p10crandom.txt"
"185"	"and"	"n"	1	"and"	0	3	1	1401	"n"	"D0A"	"p10crandom.txt"
"186"	"and"	"d"	1	"and"	0	3	1	64	"d"	"D0A"	"p10crandom.txt"
"187"	"the"	"t"	1	"the"	0	3	1	232	"t"	"D0A"	"p10crandom.txt"
"188"	"the"	"h"	1	"the"	0	3	1	120	"h"	"D0A"	"p10crandom.txt"
"189"	"the"	"e"	1	"the"	0	3	1	184	"e"	"D0A"	"p10crandom.txt"
"190"	"ability"	"a"	1	"ability"	0	7	1	192	"a"	"D0A"	"p10crandom.txt"
"191"	"ability"	"b"	1	"ability"	0	7	1	192	"b"	"D0A"	"p10crandom.txt"
"192"	"ability"	"i"	1	"ability"	0	7	1	521	"i"	"D0A"	"p10crandom.txt"
"193"	"ability"	"l"	1	"ability"	0	7	1	192	"l"	"D0A"	"p10crandom.txt"
"194"	"ability"	"i"	1	"ability"	0	7	1	95	"i"	"D0A"	"p10crandom.txt"
"195"	"ability"	"t"	1	"ability"	0	7	1	193	"t"	"D0A"	"p10crandom.txt"
"196"	"ability"	"y"	1	"ability"	0	7	1	232	"y"	"D0A"	"p10crandom.txt"
"197"	"to"	"t"	1	"to"	0	2	1	176	"t"	"D0A"	"p10crandom.txt"
"198"	"to"	"o"	1	"to"	0	2	1	128	"o"	"D0A"	"p10crandom.txt"
"199"	"clear"	"c"	1	"clear"	0	5	1	168	"c"	"D0A"	"p10crandom.txt"
"200"	"clear"	"l"	1	"clear"	0	5	1	169	"l"	"D0A"	"p10crandom.txt"
"201"	"clear"	"e"	1	"clear"	0	5	1	119	"e"	"D0A"	"p10crandom.txt"
"202"	"clear"	"a"	1	"clear"	0	5	1	153	"a"	"D0A"	"p10crandom.txt"
"203"	"clear"	"r"	1	"clear"	0	5	1	136	"r"	"D0A"	"p10crandom.txt"
"204"	"a"	"a"	1	"a"	0	1	1	104	"a"	"D0A"	"p10crandom.txt"
"205"	"variety"	"v"	1	"variety"	0	7	1	200	"v"	"D0A"	"p10crandom.txt"
"206"	"variety"	"a"	1	"variety"	0	7	1	112	"a"	"D0A"	"p10crandom.txt"
"207"	"variety"	"r"	1	"variety"	0	7	1	160	"r"	"D0A"	"p10crandom.txt"
"208"	"variety"	"i"	1	"variety"	0	7	1	136	"i"	"D0A"	"p10crandom.txt"
"209"	"variety"	"e"	1	"variety"	0	7	1	104	"e"	"D0A"	"p10crandom.txt"
"210"	"variety"	"t"	1	"variety"	0	7	1	369	"t"	"D0A"	"p10crandom.txt"
"211"	"variety"	"y"	1	"variety"	0	7	1	224	"y"	"D0A"	"p10crandom.txt"
"212"	"of"	"o"	1	"of"	0	2	1	120	"o"	"D0A"	"p10crandom.txt"
"213"	"of"	"f"	1	"of"	0	2	1	120	"f"	"D0A"	"p10crandom.txt"
"214"	"jumps,"	"j"	1	"jumps,"	0	6	1	136	"j"	"D0A"	"p10crandom.txt"
"215"	"jumps,"	"u"	1	"jumps,"	0	6	1	72	"u"	"D0A"	"p10crandom.txt"
"216"	"jumps,"	"m"	1	"jumps,"	0	6	1	312	"m"	"D0A"	"p10crandom.txt"
"217"	"jumps,"	"p"	1	"jumps,"	0	6	1	176	"p"	"D0A"	"p10crandom.txt"
"218"	"jumps,"	"s"	1	"jumps,"	0	6	1	969	"s"	"D0A"	"p10crandom.txt"
"219"	"jumps,"	","	1	"jumps,"	0	6	1	1136	","	"D0A"	"p10crandom.txt"
"220"	"weave"	"w"	1	"weave"	0	5	1	465	"w"	"D0A"	"p10crandom.txt"
"221"	"weave"	"e"	1	"weave"	0	5	1	264	"e"	"D0A"	"p10crandom.txt"
"222"	"weave"	"a"	1	"weave"	0	5	1	128	"a"	"D0A"	"p10crandom.txt"
"223"	"weave"	"v"	1	"weave"	0	5	1	160	"v"	"D0A"	"p10crandom.txt"
"224"	"weave"	"e"	1	"weave"	0	5	1	168	"e"	"D0A"	"p10crandom.txt"
"225"	"though"	"t"	0	"through"	1	7	0.857142857142857	272	"t"	"D0A"	"p10crandom.txt"
"226"	"though"	"h"	0	"through"	1	7	0.857142857142857	96	"h"	"D0A"	"p10crandom.txt"
"227"	"though"	"o"	0	"through"	1	7	0.857142857142857	256	"o"	"D0A"	"p10crandom.txt"
"228"	"though"	"u"	0	"through"	1	7	0.857142857142857	112	"u"	"D0A"	"p10crandom.txt"
"229"	"though"	"g"	0	"through"	1	7	0.857142857142857	96	"g"	"D0A"	"p10crandom.txt"
"230"	"though"	"h"	0	"through"	1	7	0.857142857142857	161	"h"	"D0A"	"p10crandom.txt"
"231"	"poles,"	"p"	1	"poles,"	0	6	1	232	"p"	"D0A"	"p10crandom.txt"
"232"	"poles,"	"o"	1	"poles,"	0	6	1	112	"o"	"D0A"	"p10crandom.txt"
"233"	"poles,"	"l"	1	"poles,"	0	6	1	216	"l"	"D0A"	"p10crandom.txt"
"234"	"poles,"	"e"	1	"poles,"	0	6	1	72	"e"	"D0A"	"p10crandom.txt"
"235"	"poles,"	"s"	1	"poles,"	0	6	1	168	"s"	"D0A"	"p10crandom.txt"
"236"	"poles,"	","	1	"poles,"	0	6	1	152	","	"D0A"	"p10crandom.txt"
"237"	"and"	"a"	1	"and"	0	3	1	40	"a"	"D0A"	"p10crandom.txt"
"238"	"and"	"n"	1	"and"	0	3	1	184	"n"	"D0A"	"p10crandom.txt"
"239"	"and"	"d"	1	"and"	0	3	1	104	"d"	"D0A"	"p10crandom.txt"
"240"	"go"	"g"	1	"go"	0	2	1	216	"g"	"D0A"	"p10crandom.txt"
"241"	"go"	"o"	1	"go"	0	2	1	241	"o"	"D0A"	"p10crandom.txt"
"242"	"through"	"t"	1	"through"	0	7	1	224	"t"	"D0A"	"p10crandom.txt"
"243"	"through"	"h"	1	"through"	0	7	1	360	"h"	"D0A"	"p10crandom.txt"
"244"	"through"	"r"	1	"through"	0	7	1	168	"r"	"D0A"	"p10crandom.txt"
"245"	"through"	"o"	1	"through"	0	7	1	120	"o"	"D0A"	"p10crandom.txt"
"246"	"through"	"u"	1	"through"	0	7	1	120	"u"	"D0A"	"p10crandom.txt"
"247"	"through"	"g"	1	"through"	0	7	1	184	"g"	"D0A"	"p10crandom.txt"
"248"	"through"	"h"	1	"through"	0	7	1	128	"h"	"D0A"	"p10crandom.txt"
"249"	"tunnels."	"t"	1	"tunnels."	0	8	1	144	"t"	"D0A"	"p10crandom.txt"
"250"	"tunnels."	"u"	1	"tunnels."	0	8	1	113	"u"	"D0A"	"p10crandom.txt"
"251"	"tunnels."	"n"	1	"tunnels."	0	8	1	168	"n"	"D0A"	"p10crandom.txt"
"252"	"tunnels."	"n"	1	"tunnels."	0	8	1	152	"n"	"D0A"	"p10crandom.txt"
"253"	"tunnels."	"e"	1	"tunnels."	0	8	1	128	"e"	"D0A"	"p10crandom.txt"
"254"	"tunnels."	"l"	1	"tunnels."	0	8	1	152	"l"	"D0A"	"p10crandom.txt"
"255"	"tunnels."	"s"	1	"tunnels."	0	8	1	200	"s"	"D0A"	"p10crandom.txt"
"256"	"tunnels."	"."	1	"tunnels."	0	8	1	208	"."	"D0A"	"p10crandom.txt"
"257"	"If"	"I"	1	"If"	0	2	1	560	"I"	"D0A"	"p10crandom.txt"
"258"	"If"	"f"	1	"If"	0	2	1	176	"f"	"D0A"	"p10crandom.txt"
"259"	"the"	"t"	1	"the"	0	3	1	256	"t"	"D0A"	"p10crandom.txt"
"260"	"the"	"h"	1	"the"	0	3	1	256	"h"	"D0A"	"p10crandom.txt"
"261"	"the"	"e"	1	"the"	0	3	1	88	"e"	"D0A"	"p10crandom.txt"
"262"	"Border"	"B"	1	"Border"	0	6	1	456	"B"	"D0A"	"p10crandom.txt"
"263"	"Border"	"o"	1	"Border"	0	6	1	233	"o"	"D0A"	"p10crandom.txt"
"264"	"Border"	"r"	1	"Border"	0	6	1	103	"r"	"D0A"	"p10crandom.txt"
"265"	"Border"	"d"	1	"Border"	0	6	1	248	"d"	"D0A"	"p10crandom.txt"
"266"	"Border"	"e"	1	"Border"	0	6	1	88	"e"	"D0A"	"p10crandom.txt"
"267"	"Border"	"r"	1	"Border"	0	6	1	145	"r"	"D0A"	"p10crandom.txt"
"268"	"Collie"	"C"	1	"Collie"	0	6	1	536	"C"	"D0A"	"p10crandom.txt"
"269"	"Collie"	"o"	1	"Collie"	0	6	1	336	"o"	"D0A"	"p10crandom.txt"
"270"	"Collie"	"l"	1	"Collie"	0	6	1	192	"l"	"D0A"	"p10crandom.txt"
"271"	"Collie"	"l"	1	"Collie"	0	6	1	144	"l"	"D0A"	"p10crandom.txt"
"272"	"Collie"	"i"	1	"Collie"	0	6	1	328	"i"	"D0A"	"p10crandom.txt"
"273"	"Collie"	"e"	1	"Collie"	0	6	1	80	"e"	"D0A"	"p10crandom.txt"
"274"	"has"	"h"	1	"has"	0	3	1	120	"h"	"D0A"	"p10crandom.txt"
"275"	"has"	"a"	1	"has"	0	3	1	121	"a"	"D0A"	"p10crandom.txt"
"276"	"has"	"s"	1	"has"	0	3	1	200	"s"	"D0A"	"p10crandom.txt"
"277"	"a"	"a"	1	"a"	0	1	1	120	"a"	"D0A"	"p10crandom.txt"
